"full_name","e","q","i","om","w","ad","tp_cal","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT"
"  418P/LINEAR",0.6637,1.716,5.78,277.86,306.89,8.49,2010-04-19.0,11.5,JFc,4636,0,775,,2.7e-09,,,
"  419P/PANSTARRS",0.2785,2.542,2.80,40.43,187.26,4.50,2015-03-15.5,6.61,ETc,2798,1,297,,,,,
"  420P/Hill",0.4943,2.788,14.46,174.03,157.61,8.24,2009-06-29.3,12.9,JFc,5281,1,223,,,,,
"  421P/McNaught",0.6754,1.649,10.09,55.68,259.90,8.51,2009-09-09.0,11.5,JFc,4403,1,96,,,,,
"  422P/Christensen",0.5061,3.093,39.59,36.09,305.99,9.43,2006-05-27.9,15.7,JFc,5912,0,281,,,,,
"  423P/Lemmon",0.1201,5.419,8.35,33.35,80.71,6.90,2021-09-24.0,15.3,JFc,5526,0,96,,,,,
"  424P/La Sagra",0.6928,1.352,8.64,51.62,312.45,7.45,2012-08-16.5,9.23,JFc,3421,0,614,,,,,
"  425P/Kowalski",0.5424,2.901,16.43,210.34,200.22,9.78,2021-09-21.0,16,JFc,6326,0,427,,,,,
"  426P/PANSTARRS",0.1608,2.674,17.77,280.52,119.40,3.70,2018-01-07.5,5.69,ETc,2264,0,123,,,,,
"  427P/ATLAS",0.3130,2.178,11.85,252.39,99.94,4.16,2017-07-28.0,5.65,ETc,1422,3,434,,,,,
"  428P/Gibbs",0.5190,1.676,8.51,299.32,36.94,5.29,2014-11-14.5,6.5,JFc,2733,1,130,,,,,
"  429P/LINEAR-Hill",0.5067,1.723,7.75,325.15,72.07,5.26,2008-11-02.8,6.53,JFc,4937,0,587,,,,,
"  430P/Scotti",0.4997,1.554,4.47,54.69,94.57,4.66,2016-06-14.5,5.48,ETc,3989,4,314,,1.3e-08,-7.1e-09,-3.6e-09,
"  431P/Scotti",0.4879,1.763,22.67,203.27,199.44,5.12,2015-09-09.3,6.39,JFc,7045,0,518,,,,,
"  432P/PANSTARRS",0.2425,2.300,10.07,239.21,105.38,3.77,2021-08-31.0,5.29,ETc,1839,3,68,,,,,
"  434P/Tenagra",0.2717,3.022,6.32,289.00,126.93,5.28,2021-10-23.7,8.45,JFc,3458,0,188,,,,,
"  435P/PANSTARRS",0.3186,2.056,18.89,98.56,244.37,3.98,2016-04-30.6,5.24,ETc,7236,1,88,,,,,
"  436P/Garradd",0.6718,1.924,20.21,87.40,283.07,9.80,2007-09-27.7,14.2,JFc,5260,0,113,,,,,
"  437P/Lemmon-PANSTARRS",0.2523,3.410,3.69,245.90,206.63,5.71,2012-11-24.1,9.74,JFc,6878,0,106,,,,,
"  438P/Christensen",0.4220,2.211,8.34,260.62,58.37,5.44,2005-04-11.4,7.48,JFc,2919,1,88,,,,,
"  439P/LINEAR",0.5098,1.646,6.96,59.10,337.65,5.07,2009-01-23.9,6.16,JFc,4785,2,154,,,,,
"  440P/Kobayashi",0.7611,2.047,12.38,329.03,183.29,15.09,2022-03-26.4,25.1,JFc,9255,0,829,,,,,
"  441P/PANSTARRS",0.1951,3.327,2.57,143.64,178.42,4.94,2017-04-08.4,8.4,ETc,4562,1,106,,,,,
"  442P/McNaught",0.5316,2.328,6.05,32.03,310.97,7.61,2022-08-20.7,11.1,JFc,8047,0,452,,,,,
"  443P/PANSTARRS-Christensen",0.2845,2.956,19.89,108.96,145.02,5.31,2022-10-09.7,8.4,JFc,7026,0,211,,,,,
"  444P/WISE-PANSTARRS",0.5703,1.473,22.12,89.41,170.89,5.38,2022-07-10.3,6.35,JFc,7033,2,247,,,,,
"  445P/Lemmon-PANSTARRS",0.4125,2.384,1.09,126.55,213.73,5.73,2022-08-19.1,8.17,JFc,8794,1,302,,,-1.2e-09,,
"  446P/McNaught",0.6467,1.619,16.57,336.43,344.68,7.54,2012-08-14.6,9.8,JFc,3779,0,396,,,,,
"  447P/Sheppard-Tholen",0.1807,4.666,7.41,302.83,95.09,6.72,2022-08-01.4,13.6,JFc,6080,0,75,,,,,
"  448P/PANSTARRS",0.4190,2.109,12.15,161.78,219.03,5.15,2022-09-08.0,6.92,JFc,5193,1,184,,,,,
"  449P/Leonard",0.4790,1.875,15.46,242.57,176.65,5.32,2020-11-23.6,6.83,JFc,12458,1,294,,,-5.6e-10,,
"  450P/LONEOS",0.3128,5.448,10.57,124.94,21.57,10.41,2004-09-12.9,22.3,JFc,7621,0,556,,,,,
"  451P/Christensen",0.5574,2.796,26.49,301.04,186.90,9.84,2007-01-17.1,15.9,JFc,5989,1,157,,,,,
"  452P/Sheppard-Jewitt",0.4279,4.159,6.43,123.80,37.30,10.38,2023-04-24.1,19.6,JFc,7380,0,219,,,,,
"  453P/WISE-Lemmon",0.5824,2.279,27.07,42.90,70.82,8.64,2023-03-02.9,12.7,JFc,4857,1,324,,,,,
"  454P/PANSTARRS",0.3615,2.687,19.81,54.61,19.83,5.73,2022-07-25.4,8.63,JFc,3363,1,96,,,,,
"  455P/PANSTARRS",0.3042,2.195,14.14,146.21,237.94,4.11,2017-07-23.6,5.6,ETc,4030,2,71,,,,,
"  456P/PANSTARRS",0.1187,2.789,16.96,243.22,234.69,3.54,2019-09-04.5,5.63,ETc,3956,2,51,,,,,
"  457P/Lemmon-PANSTARRS",0.1197,2.329,5.22,175.98,104.82,2.96,2020-05-03.7,4.3,ETc,2895,1,122,,,,,
"  458P/Jahn",0.3150,2.645,13.61,1.63,104.36,5.08,2022-10-30.0,7.59,JFc,3410,0,65,,,,,
"  459P/Catalina",0.5224,1.601,13.71,272.04,189.88,5.10,2017-01-28.3,6.14,JFc,9682,0,1061,,,,,
"  460P/PANSTARRS",0.6663,1.009,18.92,180.53,351.90,5.04,2016-03-15.5,5.25,JFc,1862,1,160,,,,,
"  461P/WISE",0.5704,1.349,18.41,194.40,174.78,4.93,2021-10-05.0,5.56,JFc,4205,0,756,,,,,
"  462P/LONEOS-PANSTARRS",0.5779,2.063,7.03,322.92,4.42,7.71,2022-08-02.4,10.8,JFc,8148,2,182,,,,,
"  463P/NEOWISE",0.8253,0.520,29.44,283.72,215.91,5.43,2023-03-29.8,5.13,JFc,3962,0,114,,,,,
"  464P/PANSTARRS",0.2809,3.372,21.67,309.61,267.73,6.01,2023-02-28.4,10.2,JFc,4521,0,175,,,,,
"  465P/Hill",0.6138,2.322,25.85,217.94,141.51,9.70,2008-08-18.7,14.7,JFc,5685,0,706,,-3.7e-08,-2.9e-08,,
"  466P/PANSTARRS",0.4669,2.156,12.24,119.89,196.59,5.93,2023-05-03.4,8.13,JFc,2976,1,207,,,,,
"  467P/LINEAR-Grauer",0.0739,5.264,2.55,44.15,262.52,6.10,2008-12-17.8,13.6,JFc,5182,1,94,,,,,
"  468P/Siding Spring",0.4448,3.968,50.36,356.10,322.25,10.33,2023-11-23.0,19.1,JFc,7198,1,159,,,,,
"  469P/PANSTARRS",0.3116,2.984,20.16,179.04,43.98,5.68,2016-12-03.4,9.02,JFc,2457,2,76,,,,,
"  470P/PANSTARRS",0.3886,2.728,8.84,246.24,152.26,6.20,2023-12-19.8,9.42,JFc,3362,1,206,,,,,
"  471P/",0.6278,2.123,4.79,283.35,94.96,9.29,2023-12-20.3,13.6,JFc,10118,0,907,,,-1.4e-09,,
"  472P/NEAT-LINEAR",0.5591,3.365,11.05,209.00,217.58,11.90,2003-07-04.4,21.1,JFc,8095,0,787,,,,,
"  473P/NEAT",0.8225,1.407,56.95,22.18,43.11,14.45,2001-11-04.7,22.3,HTC,8330,0,520,,3.5e-09,3.4e-09,6.3e-09,
"  474P/Hogan",0.1887,2.539,1.10,26.75,12.09,3.72,2023-07-19.0,5.54,ETc,6791,1,120,,,,,
"  475P/Spacewatch-LINEAR",0.4397,4.089,14.52,147.49,40.56,10.51,2004-09-20.3,19.7,JFc,7435,0,156,,,,,
"  476P/PANSTARRS",0.3456,3.120,18.89,59.34,47.55,6.42,2014-06-25.0,10.4,JFc,3258,3,69,,,,,
"  477P/PANSTARRS",0.4160,1.756,8.91,59.21,305.89,4.26,2018-10-09.4,5.22,ETc,3850,1,320,,,,,
"  478P/ATLAS",0.3436,2.394,12.52,127.28,13.11,4.90,2024-05-01.7,6.97,JFc,3174,1,494,,,,,
"  479P/Elenin",0.7786,1.244,15.39,295.85,263.49,10.00,2024-05-05.3,13.3,JFc,4803,0,990,,4.4e-09,-5.0e-09,,
"  480P/PANSTARRS",0.2414,3.529,13.70,230.46,212.14,5.78,2013-04-11.3,10,JFc,3715,2,91,,,,,
"  481P/Lemmon-PANSTARRS",0.3367,3.174,6.12,94.51,352.84,6.40,2013-01-22.0,10.5,JFc,4547,1,45,,,,,
"  482P/PANSTARRS",0.4929,1.907,24.52,126.22,339.38,5.62,2023-06-01.4,7.3,JFc,3469,1,97,,,,,
"  483P/PANSTARRS-A",0.2283,2.448,14.33,199.86,46.58,3.90,2016-06-24.2,5.65,ETc,2315,1,95,,,,,
"  483P/PANSTARRS-B",0.2282,2.448,14.33,199.86,46.58,3.90,2016-06-24.1,5.65,ETc,2315,2,61,,,,,
"  484P/Spacewatch",0.4329,2.133,14.47,265.41,241.02,5.39,2020-11-26.7,7.3,JFc,5639,0,110,,,,,
"  485P/Sheppard-Tholen",0.4159,3.996,10.01,261.84,195.92,9.69,2005-10-10.0,17.9,JFc,6640,3,12,,,,,
"  486P/Leonard",0.3647,2.304,2.21,219.16,93.69,4.95,2018-05-04.6,6.91,JFc,2208,2,239,,,,,
"  487P/Siding Spring",0.6475,1.821,39.34,49.17,0.81,8.51,2024-10-21.6,11.7,JFc,8309,0,880,,,-4.6e-11,,
"  488P/NEAT-PANSTARRS",0.5505,1.680,11.37,324.11,1.30,5.79,2017-02-25.8,7.22,JFc,8122,0,92,,,,,
"  489P/Denning",0.6456,1.575,4.01,22.58,107.96,7.31,2007-04-20.8,9.37,JFc,41324,3,302,,,3.7e-10,,
"  490P/ATLAS",0.6485,1.063,12.28,307.60,332.52,4.99,2019-06-22.6,5.26,JFc,2012,0,363,,,,,
"  491P/Spacewatch-PANSTARRS",0.2593,3.712,9.37,311.85,298.75,6.31,2013-06-13.0,11.2,JFc,4085,1,215,,,,,
"  492P/LINEAR",0.6921,1.766,11.48,11.50,40.90,9.71,2010-10-19.8,13.7,JFc,5202,0,710,,5.0e-09,-1.1e-10,3.4e-09,
"  493P/LONEOS",0.4658,3.824,24.12,1.11,83.18,10.49,2026-01-14.1,19.2,JFc,98,5,166,,,,,
"     C/-146 P1",1.0000,0.430,71.00,330.00,261.00,,-146-06-28.0,,PAR,5,,4,T,,,,
"     C/-43 K1",1.0000,0.220,110.00,170.00,17.00,,-043-05-25.0,,PAR,54,,,T,,,,
"     C/240 V1",1.0000,0.370,44.00,214.00,82.00,,0240-11-10.0,,PAR,39,,,T,,,,
"     C/390 Q1",1.0000,0.920,36.00,356.00,23.00,,0390-09-05.0,,PAR,26,,3,T,,,,
"     C/400 F1",1.0000,0.210,32.00,38.00,47.00,,0400-02-25.0,,PAR,22,,,T,,,,
"     C/418 M1",1.0000,0.350,110.00,310.00,240.00,,0418-10-05.0,,PAR,82,,,T,,,,
"     C/442 V1",1.0000,1.530,106.00,271.00,178.00,,0442-12-15.0,,PAR,100,,,T,,,,
"     C/539 W1",1.0000,0.160,19.00,33.00,246.00,,0539-11-06.0,,PAR,74,,,T,,,,
"     C/565 O1",1.0000,0.830,121.00,180.00,79.00,,0565-07-15.0,,PAR,105,,,T,,,,
"     C/568 O1",1.0000,0.870,4.00,301.80,34.90,,0568-08-27.7,,PAR,63,,4,T,,,,
"     C/574 G1",1.0000,0.730,54.00,155.00,342.00,,0574-03-25.0,,PAR,49,,3,T,,,,
"     C/770 K1",1.0000,0.580,117.00,110.70,88.00,,0770-06-05.8,,PAR,44,,4,T,,,,
"     C/817 C1",1.0000,1.100,120.00,315.00,202.00,,0817-03-03.0,,PAR,15,,,T,,,,
"     C/868 B1",1.0000,0.420,65.00,321.00,277.00,,0868-03-04.0,,PAR,7,,3,T,,,,
"     C/905 K1",1.0000,0.200,140.00,70.00,50.00,,0905-04-26.0,,PAR,25,,4,T,,,,
"     C/962 B1",1.0000,0.630,119.00,2.00,85.00,,0961-12-28.0,,PAR,64,,3,T,,,,
"     C/1014 C1",1.0000,0.560,117.00,174.00,84.00,,1014-04-06.0,,PAR,8,,3,T,,,,
"     C/1018 P1",1.0000,0.620,35.00,185.00,197.00,,1018-08-27.0,,PAR,38,,4,T,,,,
"     C/1080 P1",1.0000,0.681,6.90,322.90,73.60,,1080-09-10.9,,PAR,17,,4,T,,,,
"     C/1092 A1",1.0000,0.770,124.00,114.00,62.00,,1092-02-22.0,,PAR,22,,3,T,,,,
"     C/1097 T1",1.0000,0.300,41.00,352.00,298.00,,1097-09-22.0,,PAR,11,,4,T,,,,
"     C/1110 K1",1.0000,0.830,137.00,321.00,358.00,,1110-05-18.0,,PAR,13,,3,T,,,,
"     C/1132 T1",1.0000,0.736,106.30,213.20,114.20,,1132-08-30.7,,PAR,4,,3,T,,,,
"     C/1147 A1",1.0000,0.120,110.00,282.00,300.00,,1147-01-28.0,,PAR,38,,,T,,,,
"     C/1230 X1",1.0000,0.860,16.00,303.70,181.00,,1230-12-28.8,,PAR,26,,3,T,,,,
"     C/1240 B1",1.0000,0.668,75.30,135.10,331.40,,1240-01-21.6,,PAR,22,,4,T,,,,
"     C/1245 D1",1.0000,0.500,20.00,180.00,87.00,,1245-04-01.0,,PAR,33,,,T,,,,
"     C/1264 N1",1.0000,0.825,16.40,151.04,159.71,,1264-07-20.2,,PAR,70,,7,T,,,,
"     C/1293 V1",1.0000,0.780,30.00,89.00,313.00,,1293-10-28.0,,PAR,28,,,T,,,,
"     C/1299 B1",1.0000,0.318,111.00,116.94,103.89,,1299-03-31.8,,PAR,40,,3,T,,,,
"     C/1304 C1",1.0000,0.840,65.00,88.70,25.00,,1304-02-05.5,,PAR,75,,,T,,,,
"     C/1304 Y1",1.0000,0.650,99.00,106.00,56.00,,1305-01-19.0,,PAR,4,,,T,,,,
"     C/1315 U1",1.0000,1.650,125.30,176.30,27.30,,1315-10-15.1,,PAR,67,,6,T,,,,
"     C/1337 M1",1.0000,0.749,143.60,97.61,79.61,,1337-06-14.8,,PAR,54,,7,T,,,,
"     C/1340 F1",1.0000,1.136,176.48,187.63,32.44,,1340-05-13.6,,PAR,11,,3,T,,,,
"     C/1345 O1",1.0000,0.890,23.00,150.00,210.00,,1345-08-23.0,,PAR,3,,,T,,,,
"     C/1351 W1",1.0000,1.010,7.00,264.00,165.00,,1351-11-19.0,,PAR,6,,3,T,,,,
"     C/1362 E1",1.0000,0.300,155.00,291.00,348.00,,1362-02-25.0,,PAR,27,,3,T,,,,
"     C/1368 E1",1.0000,0.480,131.00,217.00,90.00,,1368-05-05.0,,PAR,19,,,T,,,,
"     C/1376 M1",1.0000,0.550,76.00,300.70,81.00,,1376-07-31.7,,PAR,47,,3,T,,,,
"     C/1402 D1",1.0000,0.380,55.00,126.00,91.00,,1402-03-21.0,,PAR,,,,T,,,,
"     C/1433 R1",1.0000,0.493,103.98,104.25,189.39,,1433-11-08.2,,PAR,26,,3,T,,,,
"     C/1439 F1",1.0000,0.120,81.00,192.00,140.00,,1439-05-09.0,,PAR,18,,3,T,,,,
"     C/1449 Y1",1.0000,0.327,155.68,268.81,356.69,,1449-12-09.8,,PAR,48,,20,T,,,,
"     C/1457 L1",1.0000,0.770,7.33,187.55,183.28,,1457-08-08.1,,PAR,45,,3,T,,,,
"     C/1458 Y1",1.0000,0.490,69.00,117.00,258.00,,1458-11-07.0,,PAR,16,,,T,,,,
"     C/1462 M1",1.0000,0.250,130.00,316.00,137.00,,1462-08-04.0,,PAR,17,,,T,,,,
"     C/1468 S1",1.0000,0.850,138.00,106.70,91.00,,1468-10-07.3,,PAR,51,,3,T,,,,
"     C/1471 Y1",1.0000,0.486,170.87,292.87,245.73,,1472-03-01.4,,PAR,12,,3,T,,,,
"     C/1490 Y1",1.0000,0.738,51.65,295.89,129.84,,1490-12-24.9,,PAR,22,,3,T,,,,
"     C/1499 Q1",1.0000,0.950,16.00,329.00,42.00,,1499-09-09.0,,PAR,21,,3,T,,,,
"     C/1500 H1",1.0000,1.110,99.00,305.00,352.00,,1500-04-30.0,,PAR,63,,3,T,,,,
"     C/1506 O1",1.0000,0.840,115.00,155.70,200.00,,1506-08-28.5,,PAR,14,,3,T,,,,
"     C/1532 R1",1.0000,0.519,32.59,93.81,24.53,,1532-10-18.8,,PAR,37,,3,T,,,,
"     C/1533 M1",1.0000,0.255,149.59,125.42,21.40,,1533-06-15.4,,PAR,29,,10,T,,,,
"     C/1538 A1",1.0000,0.148,42.46,356.20,287.70,,1537-12-30.3,,PAR,8,,5,T,,,,
"     C/1539 H1",1.0000,0.961,18.60,55.10,174.50,,1539-05-12.6,,PAR,36,,3,T,,,,
"     C/1556 D1",1.0000,0.491,32.37,181.44,100.87,,1556-04-22.6,,PAR,52,,36,T,,,,
"     C/1557 T1",1.0000,0.500,42.00,212.00,94.00,,1557-09-22.0,,PAR,19,,3,T,,,,
"     C/1558 P1",1.0000,0.316,76.40,155.50,55.50,,1558-07-25.0,,PAR,26,,9,,,,,
"     C/1577 V1",1.0000,0.177,104.88,31.24,255.67,,1577-10-27.4,,PAR,74,,24,T,,,,
"     C/1580 T1",1.0000,0.602,64.61,24.95,89.37,,1580-11-28.9,,PAR,32,,10,F,,,,
"     C/1582 J1",1.0000,0.169,118.54,233.03,331.89,,1582-05-06.9,,PAR,6,,3,T,,,,
"     C/1585 T1",1.0000,1.095,6.13,43.14,331.78,,1585-10-08.5,,PAR,25,,28,F,,,,
"     C/1590 E1",1.0000,0.568,150.45,171.34,307.67,,1590-02-08.5,,PAR,11,,32,T,,,,
"     C/1593 O1",1.0000,0.089,87.91,169.92,12.07,,1593-07-19.0,,PAR,27,,3,T,,,,
"     C/1596 N1",1.0000,0.567,128.08,335.96,59.41,,1596-07-25.7,,PAR,7,,3,T,,,,
"     C/1618 Q1",1.0000,0.513,21.49,298.84,24.80,,1618-08-17.6,,PAR,24,,7,T,,,,
"     C/1618 V1",1.0000,0.744,8.40,229.50,155.90,,1618-10-27.9,,PAR,28,,6,T,,,,
"     C/1618 W1",1.0000,0.390,37.20,81.00,287.44,,1618-11-08.8,,PAR,53,,42,T,,,,
"     C/1639 U1",1.0000,0.816,61.70,219.70,237.40,,1639-11-29.4,,PAR,3,,4,T,,,,
"     C/1652 Y1",1.0000,0.848,79.46,93.00,300.19,,1652-11-13.1,,PAR,18,,54,T,,,,
"     C/1661 C1",1.0000,0.443,33.02,86.56,33.45,,1661-01-27.3,,PAR,35,,3,T,,,,
"     C/1664 W1",1.0000,1.026,158.70,86.05,310.68,,1664-12-04.9,,PAR,61,,30,F,,,,
"     C/1665 F1",1.0000,0.106,103.89,232.70,156.09,,1665-04-24.7,,PAR,14,,8,T,,,,
"     C/1668 E1",1.0000,0.067,144.38,3.21,109.81,,1668-02-28.0,,PAR,16,,15,T,,,,
"     C/1672 E1",1.0000,0.695,82.97,302.69,109.52,,1672-03-01.9,,PAR,24,,34,T,,,,
"     C/1677 H1",1.0000,0.281,100.93,241.32,99.16,,1677-05-06.5,,PAR,9,,10,T,,,,
"     C/1680 V1",1.0000,0.006,60.68,276.63,350.61,888.85,1680-12-18.4,,COM,125,,30,F,,,,
"     C/1683 O1",1.0000,0.560,96.74,177.84,87.81,,1683-07-13.5,,PAR,43,,,T,,,,
"     C/1684 N1",1.0000,0.958,65.42,272.60,330.30,,1684-06-08.7,,PAR,16,,,T,,,,
"     C/1686 R1",1.0000,0.336,34.97,358.44,81.91,,1686-09-16.3,,PAR,29,,3,T,,,,
"     C/1689 X1",1.0000,0.064,63.20,283.75,78.13,,1689-11-30.6,,PAR,13,,4,T,,,,
"     C/1695 U1",1.0000,0.042,93.59,286.02,59.12,,1695-10-23.7,,PAR,20,,13,T,,,,
"     C/1698 R1",1.0000,0.729,169.09,70.28,151.38,,1698-10-17.5,,PAR,26,,3,T,,,,
"     C/1699 D1",1.0000,0.749,109.42,325.89,109.52,,1699-01-13.9,,PAR,11,,3,T,,,,
"     C/1701 U1",1.0000,0.593,138.37,302.81,164.95,,1701-10-17.9,,PAR,7,,3,T,,,,
"     C/1702 H1",1.0000,0.647,4.38,193.29,309.64,,1702-03-14.1,,PAR,11,,5,T,,,,
"     C/1706 F1",1.0000,0.427,55.27,17.28,59.43,,1706-01-30.7,,PAR,23,,6,T,,,,
"     C/1707 W1",1.0000,0.859,88.65,56.92,27.16,,1707-12-12.4,,PAR,26,,4,T,,,,
"     C/1718 B1",1.0000,1.025,148.84,131.90,6.31,,1718-01-15.4,,PAR,18,,13,T,,,,
"     C/1723 T1",1.0000,0.999,130.03,18.10,331.38,,1723-09-28.1,,PAR,59,,15,T,,,,
"     C/1729 P1",1.0000,4.051,77.09,314.39,10.40,,1729-06-16.6,,PAR,135,,3,T,,,,
"     C/1733 K1",1.0000,0.103,23.79,271.05,187.89,,1733-05-06.1,,PAR,7,,4,T,,,,
"     C/1737 C1",1.0000,0.223,18.33,230.12,99.46,,1737-01-30.8,,PAR,35,,15,T,,,,
"     C/1739 K1",1.0000,0.674,124.26,211.04,104.75,,1739-06-17.9,,PAR,82,,,T,,,,
"     C/1742 C1",1.0000,0.766,112.95,189.20,328.04,,1742-02-08.6,,PAR,62,,100,T,,,,
"     C/1743 C1",1.0000,0.838,2.28,70.30,26.25,,1743-01-11.3,,PAR,16,,4,T,,,,
"     C/1743 Q1",1.0000,0.523,134.41,9.63,119.05,,1743-09-21.1,,PAR,26,,12,T,,,,
"     C/1743 X1",1.0000,0.222,47.14,49.30,151.49,,1744-03-01.8,,PAR,71,,76,T,,,,
"     C/1746 P1",1.0000,2.199,100.86,150.85,230.29,,1747-03-03.9,,PAR,114,,30,T,,,,
"     C/1748 H1",1.0000,0.841,94.53,236.38,17.83,,1748-04-29.3,,PAR,51,,20,T,,,,
"     C/1748 K1",1.0000,0.625,67.08,36.64,245.67,,1748-06-19.3,,PAR,3,,3,T,,,,
"     C/1750 C1",1.0000,0.200,132.00,303.00,285.00,,1750-02-23.0,,PAR,4,,3,T,,,,
"     C/1757 R1",1.0000,0.337,12.83,217.68,268.69,,1757-10-21.8,,PAR,35,,16,T,,,,
"     C/1758 K1",1.0000,0.215,68.30,234.21,36.77,,1758-06-11.6,,PAR,79,,,T,,,,
"     C/1760 A1 (Great comet)",1.0000,0.966,175.13,83.55,301.73,,1759-12-17.3,,PAR,31,,,T,,,,
"     C/1760 B1 (Messier)",1.0000,0.801,79.08,143.01,273.93,,1759-11-27.5,,PAR,50,,19,T,,,,
"     C/1762 K1 (Klinkenberg)",1.0000,1.009,85.67,351.87,115.48,,1762-05-28.8,,PAR,29,,3,T,,,,
"     C/1763 S1 (Messier)",1.0000,0.498,72.50,359.75,88.57,,1763-11-02.3,,PAR,46,,4,T,,,,
"     C/1764 A1 (Messier)",1.0000,0.555,127.09,123.39,104.86,,1764-02-13.0,,PAR,39,,,T,,,,
"     C/1766 E1 (Messier)",1.0000,0.505,139.15,247.41,100.88,,1766-02-17.8,,PAR,7,,16,T,,,,
"     D/1766 G1 (Helfenzrieder)",0.8476,0.406,7.87,76.26,178.70,4.92,1766-04-27.9,4.35,JFc,24,,22,F,,,,
"     C/1769 P1 (Messier)",0.9992,0.123,40.73,178.29,329.12,326.79,1769-10-08.1,,COM,101,,37,T,,,,
"     D/1770 L1 (Lexell)",0.7861,0.674,1.55,134.47,225.02,5.63,1770-08-14.0,5.6,JFc,110,,130,F,,,,
"     C/1771 A1 (Great comet)",1.0000,0.528,148.56,111.94,260.38,,1770-11-22.7,,PAR,10,,4,T,,,,
"     C/1771 G1 (Messier)",1.0000,0.902,11.29,31.00,76.23,,1771-04-19.6,,PAR,72,,100,F,,,,
"     C/1773 T1 (Messier)",1.0000,1.127,61.22,124.24,314.12,,1773-09-06.1,,PAR,94,,4,T,,,,
"     C/1774 P1 (Montaigne)",1.0000,1.429,82.98,183.97,136.53,,1774-08-15.9,,PAR,68,,,T,,,,
"     C/1779 A1 (Bode)",1.0000,0.713,32.44,28.14,62.17,,1779-01-04.5,,PAR,118,,300,F,,,,
"     C/1780 U1 (Montaigne-Olbers)",1.0000,0.515,107.92,145.08,255.16,,1780-11-29.3,,PAR,8,,3,T,,,,
"     C/1780 U2 (Messier)",1.0000,0.099,126.18,127.23,237.83,,1780-10-01.2,,PAR,38,,3,T,,,,
"     C/1781 M1 (Mechain)",1.0000,0.776,81.72,86.06,156.21,,1781-07-07.6,,PAR,17,,12,T,,,,
"     C/1781 T1 (Mechain)",1.0000,0.961,152.80,80.48,61.39,,1781-11-30.0,,PAR,77,,4,T,,,,
"     C/1783 X1 (Great comet)",1.0000,0.708,128.86,59.86,336.12,,1784-01-21.7,,PAR,123,,16,T,,,,
"     C/1785 A1 (Messier-Mechain)",1.0000,1.143,70.24,267.21,205.63,,1785-01-27.8,,PAR,32,,9,T,,,,
"     C/1785 E1 (Mechain)",0.9965,0.427,92.64,67.69,127.20,240.95,1785-04-08.9,,COM,37,,25,T,,,,
"     C/1786 P1 (Herschel)",1.0000,0.411,50.89,197.40,325.05,,1786-07-08.3,,PAR,82,,144,F,,,,
"     C/1787 G1 (Mechain)",1.0000,0.349,131.72,109.85,99.16,,1787-05-11.3,,PAR,47,,,T,,,,
"     C/1788 W1 (Messier)",1.0000,1.063,167.51,159.93,57.84,,1788-11-10.8,,PAR,33,,9,T,,,,
"     C/1790 A1 (Herschel)",1.0000,0.758,148.07,179.12,115.95,,1790-01-15.7,,PAR,12,,4,T,,,,
"     C/1790 H1 (Herschel)",1.0000,0.798,116.15,36.12,119.48,,1790-05-21.7,,PAR,58,,,T,,,,
"     C/1791 X1 (Herschel)",1.0000,1.293,140.21,193.60,154.35,,1792-01-14.0,,PAR,33,,7,T,,,,
"     C/1793 A1 (Gregory)",1.0000,0.966,131.00,286.16,147.17,,1792-12-27.6,,PAR,34,,,T,,,,
"     C/1793 S1 (Perny)",1.0000,1.505,51.94,5.17,69.34,,1793-11-19.9,,PAR,72,,24,T,,,,
"     C/1793 S2 (Messier)",1.0000,0.403,119.64,111.38,239.81,,1793-11-05.3,,PAR,13,,,T,,,,
"     C/1796 F1 (Olbers)",1.0000,1.580,115.17,19.90,184.30,,1796-04-03.2,,PAR,14,,16,T,,,,
"     C/1797 P1 (Bouvard-Herschel)",1.0000,0.525,129.43,332.09,279.68,,1797-07-09.6,,PAR,15,,12,T,,,,
"     C/1798 G1 (Messier)",1.0000,0.485,43.78,124.92,343.00,,1798-04-05.0,,PAR,40,,9,T,,,,
"     C/1798 X1 (Bouvard)",1.0000,0.775,137.75,252.28,215.88,,1799-01-01.4,,PAR,4,,6,T,,,,
"     C/1799 P1 (Mechain)",1.0000,0.840,129.06,102.33,95.83,,1799-09-07.6,,PAR,79,,,T,,,,
"     C/1799 Y1 (Mechain)",1.0000,0.626,103.00,329.61,136.47,,1799-12-26.3,,PAR,11,,6,T,,,,
"     C/1801 N1 (Pons)",1.0000,0.256,159.27,45.31,219.84,,1801-08-09.0,,PAR,11,,11,T,,,,
"     C/1802 Q1 (Pons)",1.0000,1.094,57.01,313.01,21.85,,1802-09-10.3,,PAR,38,,135,T,,,,
"     C/1804 E1 (Pons)",1.0000,1.071,56.45,179.53,331.95,,1804-02-14.0,,PAR,19,,10,T,,,,
"     C/1806 V1 (Pons)",1.0000,1.082,144.95,324.99,225.21,,1806-12-29.4,,PAR,91,,35,T,,,,
"     C/1807 R1 (Great comet)",0.9955,0.646,63.18,269.48,4.10,285.76,1807-09-19.2,,COM,187,,70,T,,,,
"     C/1808 F1 (Pons)",1.0000,0.390,134.30,325.64,253.74,,1808-05-13.4,,PAR,8,,10,T,,,,
