"full_name","e","q","i","om","w","ad","tp_cal","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT"
"  213P/Van Ness-B",0.3797,2.123,10.24,312.67,3.34,4.72,2011-06-16.4,6.33,JFc,77,5,115,,,,,
"  214P/LINEAR",0.4896,1.840,15.23,348.31,190.16,5.37,2002-03-01.0,6.84,JFc,2665,1,131,,,,,
"  215P/NEAT",0.2001,3.463,10.05,63.05,253.82,5.20,2019-09-25.4,9.01,JFc,10735,0,1002,,,-1.3e-08,,
"  216P/LINEAR",0.4455,2.149,9.05,359.87,151.51,5.60,2016-05-30.9,7.63,JFc,8526,0,403,,,,,
"  217P/LINEAR",0.6896,1.224,12.88,125.62,246.77,6.66,2009-09-08.9,7.83,JFc,8392,0,3288,,1.6e-09,-1.0e-10,3.9e-12,19
"  218P/LINEAR",0.4911,1.701,18.17,226.61,10.78,4.98,2009-06-22.5,6.11,JFc,4522,0,712,,2.4e-09,,,
"  219P/LINEAR",0.3519,2.366,11.53,231.03,107.50,4.93,2017-02-21.4,6.97,JFc,8191,0,1105,,1.2e-08,-1.1e-09,-2.7e-10,
"  220P/McNaught",0.5022,1.550,8.13,150.12,180.75,4.68,2009-12-15.2,5.49,JFc,6042,0,484,,1.8e-10,-1.3e-11,,
"  221P/LINEAR",0.4876,1.780,11.43,229.99,39.51,5.17,2009-01-24.3,6.47,JFc,7497,0,627,,,-2.2e-11,,
"  222P/LINEAR",0.7268,0.781,5.15,7.13,345.43,4.93,2009-09-01.1,4.83,JFc,5283,0,239,,9.0e-11,-4.4e-12,,
"  223P/Skiff",0.4164,2.420,27.05,346.82,37.86,5.87,2010-08-14.5,8.45,JFc,7175,0,776,,-3.9e-09,-4.9e-12,6.4e-10,
"  224P/LINEAR-NEAT",0.4373,1.896,14.87,43.27,10.94,4.84,2003-09-25.4,6.19,JFc,6992,2,107,,,,,
"  225P/LINEAR",0.6374,1.324,21.34,14.18,3.88,5.98,2016-08-16.4,6.98,JFc,7808,0,519,,6.8e-11,-2.0e-11,,
"  226P/Pigott-LINEAR-Kowalski",0.5282,1.778,44.00,54.01,341.10,5.76,2016-09-04.5,7.32,JFc,5328,0,1679,,4.0e-09,3.1e-10,,
"  227P/Catalina-LINEAR",0.5104,1.743,6.51,48.60,90.85,5.38,2024-03-15.2,6.71,JFc,10051,0,1233,,,,,
